time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-11T17:00:32.920Z,-25.6731,-13.7383,10.99,5.2,mb,,120,28.964,1.01,us,us20004zj3,2016-02-11T17:42:15.185Z,"Southern Mid-Atlantic Ridge",earthquake,12.8,4.2,0.064,81,reviewed,us,us
2016-02-11T13:47:13.780Z,-16.938,-173.3595,47.64,4.8,mb,,80,3.375,1,us,us20004zhi,2016-02-11T14:19:35.309Z,"117km SSE of Hihifo, Tonga",earthquake,9.2,7.4,0.062,81,reviewed,us,us
2016-02-11T13:10:58.340Z,43.4902,82.7538,18.61,4.9,mb,,74,3.319,0.77,us,us20004zh6,2016-02-11T13:55:35.971Z,"129km ESE of Yining Xian, China",earthquake,8.2,4.4,0.083,46,reviewed,us,us
2016-02-11T07:14:36.810Z,6.7887,-73.032,165.02,4.8,mb,,42,1.469,1.34,us,us20004zge,2016-02-11T15:17:13.050Z,"10km N of Aratoca, Colombia",earthquake,5.3,8.2,0.097,33,reviewed,us,us
2016-02-11T07:02:23.370Z,3.9596,-82.7302,10,4.8,mb,,82,4.46,1.13,us,us20004zgd,2016-02-11T15:05:06.142Z,"South of Panama",earthquake,3.1,1.9,0.1,31,reviewed,us,us
2016-02-11T00:05:43.880Z,-10.1862,119.1527,36.71,4.5,mb,,84,3.411,0.59,us,us20004zen,2016-02-11T08:08:15.162Z,"51km SSW of Bogorawatu, Indonesia",earthquake,6.9,8.5,0.105,27,reviewed,us,us
2016-02-10T21:30:20.300Z,-20.4013,-174.56,41.09,5,mb,,89,4.558,1.33,us,us20004zdp,2016-02-11T05:32:47.935Z,"70km SSW of Pangai, Tonga",earthquake,10.3,6.9,0.071,63,reviewed,us,us
2016-02-10T19:11:48.190Z,-10.1831,161.5868,67.33,5,mb,,89,1.776,0.6,us,us20004zcq,2016-02-11T03:14:33.164Z,"47km NW of Kirakira, Solomon Islands",earthquake,9.6,8.4,0.074,58,reviewed,us,us
2016-02-10T16:54:42.680Z,-32.0921,179.9244,422.22,5,mb,,90,3.387,0.76,us,us20004zbe,2016-02-11T00:57:09.941Z,"133km WSW of L'Esperance Rock, New Zealand",earthquake,18.3,15.3,0.133,18,reviewed,us,us
2016-02-10T15:10:33.740Z,-20.2577,-174.5873,35,5.4,mb,,28,4.545,1.67,us,us20004zaz,2016-02-10T23:13:17.428Z,"56km SSW of Pangai, Tonga",earthquake,9.7,1.9,0.03,383,reviewed,us,us
2016-02-10T12:32:23.580Z,-10.2408,160.8166,46.68,4.8,mb,,110,1.17,0.71,us,us20004z9h,2016-02-10T20:34:59.774Z,"123km W of Kirakira, Solomon Islands",earthquake,6.5,7.8,0.091,37,reviewed,us,us
